coaster_name,Length,Speed,Location,Status,Type,Manufacturer,Model,Height,Inversions,Lift/launch system,Cost,Trains,Park section,Duration,Capacity,G-force,Designer,Max vertical angle,Drop,Soft opening date,Fast Lane available,Replaced,Track layout,Fastrack available,Soft opening date.1,Closing date,Opened,Replaced by,Website,Flash Pass Available,Must transfer from wheelchair,Theme,Single rider line available,Restraint Style,Flash Pass available,Acceleration,Restraints,year_introduced,latitude,longitude,Type_Main,Opening Date
Big Dipper (Luna Park Sydney),"2,623 ft (799 m)",58 mph (93 km/h),Other,,Wood,,,52 ft (16 m),,Chain,,,,3 min (approx),,,,45°,,,,,Wood,,,,,,,,,,,,,,,1935,,,Wood,
Grand National (roller coaster),"3,302 ft (1,006 m)",40 mph (64 km/h),Blackpool Pleasure Beach,Closed,Wood – Racing,,Racing,62 ft (19 m),0.0,Chain lift,,4 trains with 3 cars. Riders are arranged 2 across in 3 rows for a total of 18 riders per train.,,2:20[1],,3.2,Charles Paige,39°,54 ft (16 m),,,,Möbius Loop,,,,,,,,,,,,,,,1935,53.7919,-3.0531,Wood,1935-01-01
Blue Streak (Conneaut Lake),"2,900 ft (880 m)",50 mph (80 km/h),Conneaut Lake Park,Closed,Wood,,Out and Back roller coaster,77 ft (23 m),0.0,,,Single train with 3 cars. Riders are arranged 2 across in 3 rows for a total of 18 riders per train.,,2:20,,,Ed Vettel,,,,,,,,,,,,,,,,,,,,,1937,41.6349,-80.318,Wood,1938-05-23
Derby Racer,,,Revere Beach,Removed,Wood – Racing,Fred W. Pearce,,,0.0,,"$140,000",,,,,,,,,,,,Figure Eight,,,1936,,,,,,,,,,,,1937,42.42,-70.986,Wood,1911-01-01
Blue Streak (Conneaut Lake),"2,900 ft (880 m)",50 mph (80 km/h),Conneaut Lake Park,Closed,Wood,,Out and Back roller coaster,77 ft (23 m),0.0,,,Single train with 3 cars. Riders are arranged 2 across in 3 rows for a total of 18 riders per train.,,2:20,,,Ed Vettel,,,,,,,,,,,,,,,,,,,,,1938,41.6349,-80.318,Wood,1938-05-23
Rollo Coaster,900 ft (270 m),25 mph (40 km/h),Idlewild and Soak Zone,Operating,Wood,Philadelphia Toboggan Coasters,,27 ft (8.2 m),0.0,Chain lift,,,,1:15,,,Herbert Paul Schmeck,,25 ft (7.6 m),,,,Out and Back,,,,,,,,,,,,,,,1938,40.2602,-79.2814,Wood,1938-01-01
Cyclone (Lakeside Amusement Park),"2,800 ft (850 m)",55 mph (89 km/h),Lakeside Amusement Park,Operating,Wood,,,80 ft (24 m),0.0,Chain lift hill,,2 trains with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,,2:00,"1,100 riders per hour",,Edward A. Vettel,50°,80 ft (24 m),,,,Terrain,,,,,,,,,,,,,,,1940,39.7808,-105.054,Wood,1940-05-17
Flyer Comet (Whalom Park),"2,640 ft (800 m)",40 mph (64 km/h),Whalom Park,Removed,Wood,National Amusement Devices,,70 ft (21 m),,,,,,1:50,,,Vernon Keenan,,,,,,,,,2000,,,,,,,,,,,,1940,42.5762,-71.746,Wood,1940-01-01
Giant Skyrocket,"6,600 ft (2,000 m)",,Other,,Wood,Lake Contrary Amusement Park,,110 ft (34 m),,,"$75,000",,,,,,Audley Ingersoll,,90 ft (27 m),,,,,,,,,,,,,,,,,,,1941,,,Wood,
Thunderbolt (Six Flags New England),"2,600 ft (790 m)",40 mph (64 km/h),Six Flags New England,Operating,Wood,Joseph E. Drambour,,70 ft (21 m),0.0,,,,,1:00,,,"Harry C. Baker, Harry G Traver",,,,,,Figure Eight,,,,,,,Flash Pass Available,,,,,,,,1941,42.0389,-72.6133,Wood,1941-01-01
Comet (Hersheypark),"3,360 ft (1,020 m)",50 mph (80 km/h),Hersheypark,Operating,Wood,Philadelphia Toboggan Coasters,,84 ft (26 m),,Chain lift hill,,,The Hollow,1:45,950 riders per hour,,Herbert Paul Schmeck,47°,78 ft (24 m),,,,Modified Double Out and Back,,,,,,,,,,,,,,,1946,40.2864,-76.6556,Wood,1946-01-01
Comet (Lincoln Park),"3,000 ft (910 m)",55 mph (89 km/h),Lincoln Park,Removed,Wood,National Amusement Devices,,65 ft (20 m),,Chain lift,,,,2:10,,,"Edward Leis, Vernon Keenan",,,,,,,,,"September 29, 1987",,,,,,,,,,,,1946,41.6362,-71.0432,Wood,1946-10-01
Little Dipper (Conneaut Lake Park),,,Conneaut Lake Park,Operating,Steel,Allan Herschell Company,Little Dipper,,,Chain lift hill,,,,,,,,,,,,,Oval,,,,,,,,,,,,,,,1950,41.6343,-80.3165,Steel,1950-01-01
Little Dipper (Six Flags Great America),700 ft (210 m),25 mph (40 km/h),Other,,Wood,Philadelphia Toboggan Coasters,Junior Coaster,28 ft (8.5 m),0.0,Chain lift hill,,Single train with 4 cars. Riders are arranged 2 across in 2 rows for a total of 16 riders per train.,Yukon Territory,0:50,,,Herbert Schmeck,,24 ft (7.3 m),,,,,,,"September 27, 2009",,,,,Must transfer from wheelchair,,,,,,,1950,,,Wood,
Big Dipper (Battersea Park),"1,200 m (3,900 ft)",,Battersea Park,Removed,Wood,,,15 m (49 ft),0.0,Rope lift,,3 cars. Riders are arranged 2 across in 4 rows for a total of 24 riders per train.,,,,,,,,,,,,,,30 May 1972,,,,,,,,,,,,1951,51.4794,-0.1569,Wood,1951-01-01
Comet (Waldameer),"1,300 ft (400 m)",25 mph (40 km/h),Waldameer Park,Operating,Wood,Philadelphia Toboggan Coasters,,37 ft (11 m),0.0,Chain,,,,1:24,,,Herbert Paul Schmeck,,25 ft (7.6 m),,,,Wood,,,,,,,,,,,,,,,1951,42.1077,-80.1568,Wood,1951-01-01
Vuoristorata,"960 m (3,150 ft)",60 km/h (37 mph),Linnanmäki,Operating,Wood – Side friction,"Linnanmäki, led by Svend Jarlström",,24 m (79 ft),0.0,Cable lift hill,"48 million FIM (1951);[1]1.62 million EUR (in 2021 euros, inflation-adjusted)[2]","4 trains with 4 cars. Riders are arranged 2 across in 3 rows, except for the brakeman's car at the back in 2 rows, for a total of 22 riders per train.",,2:15[4],"1,320 riders per hour",,Valdemar Lebech[3],,,,,,,,,,,,,,,,,,,,,1951,60.1886,24.9417,Wood,1951-07-13
Little Dipper (Memphis Kiddie Park),,,Memphis Kiddie Park,Operating,Steel,Allan Herschell Company,Little Dipper,,,Chain lift hill,,,,,,,The Allan Herschell Company,,,,,,,,,,,,,,,,,,,,,1952,41.4405,-81.7577,Steel,1952-04-01
High Speed Thrill Coaster,200 ft (61 m),,Knoebels Amusement Resort,Removed,Steel,,,18 ft (5.5 m),0.0,Chain lift hill,,,,,,,Overland Amusement Company,,12 ft (3.7 m),,,,Oval,,,2008,,Kozmo's Kurves,,,,,,,,,,1955,40.8801,-76.5027,Steel,1955-01-01
Sea Dragon (roller coaster),"1,320 ft (400 m)",25 mph (40 km/h),Rides At Adventure Cove,Operating,Wood,Philadelphia Toboggan Coasters,,37 ft (11 m),0.0,Chain lift hill,,,,1:30,640 riders per hour,,John C. Allen,45°,,,,,Figure Eight,,,,,,,,,,,,,,,1956,40.1544,-83.1203,Wood,1956-01-01
Big Dipper (Camden Park),,,Camden Park,Operating,Other,National Amusement Devices,,,,,,,,1:40,,,,,,,,,,,,,,,,,,,,,,,,1958,,,Other,1958-01-01
Wild Mouse (Blackpool Pleasure Beach),"1,266 ft (386 m)",35 mph (56 km/h),Blackpool Pleasure Beach,Removed,Wood – Wild Mouse,Blackpool Pleasure Beach,,50 ft (15 m),0.0,,,,,1min 30sec,,1.8,Frank Wright,,,,,,,,,2017,,,,,,,,,,,,1958,53.7913,-3.0561,Wood,1958-01-01
Wooden Roller Coaster (Playland),"2,840 ft (870 m)",80 km/h (50 mph),Playland,Not Currently Operating,Wood,,Twister[1],75 ft (23 m),0.0,Chain lift hill,"$200,000",2 trains with 8 cars. Riders are arranged 2 across in a single row for a total of 16 riders per train.,,,,,"Carl Phare, Walker LeRoy",,67 ft (20 m),,,,,,,,,,Official website,,,,,,,,,1958,49.2824,-123.0352,Wood,1958-01-01
Matterhorn Bobsleds,"2,037 ft (620.9 m)",27 mph (43.5 km/h),Other,Operating,Steel,Arrow Development,Special Coaster Systems,80 ft (24.4 m),0.0,Chain lift hill,,20 trains with 2 cars. Riders are arranged 1 across in 3 rows for a total of 6 riders per train.,Fantasyland,2:07,,,WED Enterprises,,,,,,Dual-tracked,,,,,,,,Must transfer from wheelchair,Swiss mountain,Single rider line available,,,,,1959,,,Steel,1959-06-14
Tornado (Wedgewood Village Amusement Park),,,"63rd and N.W. Expressway, Oklahoma City, Oklahoma, U.S.",Closed,Other,,,,,,,,,,,,,,,,,,,,,,1955,,,,,,,,,,,1961,,,Other,
